Top 20 phoneme n-grams for each trained language.
Models most frequent clusters of speech sounds 
(bigrams, trigrams, 4-grams) in a given language, 
based on training materials.

Interesting: if you can read IPA characters, and
have some knowledge of a language, you might be 
able to guess the language corresponding to a
list of most common co-occurring speech sounds!

en:                     count   logprob
('.', 'a', 'ʁ', 't'):   30,     -5.68855602732491
('a', 'ʁ', 't', 'iː'):  30,     -5.68855602732491
('ʁ', 't', 'iː', 'k'):  30,     -5.68855602732491
('t', 'iː', 'k', 'l̩'):  30,     -5.68855602732491
('h', 'a', 'ɪ̯', 't'):   28,     -5.757548898811861
('.', 'j', 'eː', 'd'):  28,     -5.757548898811861
('d', 'a', 's', 'ʀ'):   26,     -5.831656870965583
('a', 's', 'ʀ', 'ɛ'):   26,     -5.831656870965583
('t', 'ʊ', 'n', 't'):   25,     -5.8708775841188645
('eː', 'd', 'ə', 'h'):  25,     -5.8708775841188645
('d', 'ə', 'h', 'a'):   25,     -5.8708775841188645
('ə', 'h', 'a', 't'):   25,     -5.8708775841188645
('ɛ', 'ç', 't', 'ə'):   23,     -5.954259193057915

es:                     count   logprob
('e', 'ɾ'):     200,    -3.7294214094268727
('e', 's'):     179,    -3.840352970134154
('o', 'n'):     175,    -3.862952802051395
('ð', 'e'):     175,    -3.862952802051395
('e', 'n'):     160,    -3.9525649607410824
('e', 'l'):     155,    -3.9843136590556627
('a', 'l'):     153,    -3.9973008545824738
('l', 'a'):     132,    -4.144936853388538
('j', 'o'):     131,    -4.152541452773757
('ɾ', 'e'):     111,    -4.318208574662575
('a', 's'):     111,    -4.318208574662575
('d', 'e'):     107,    -4.354909941513003
('n', 'a'):     107,    -4.354909941513003
('n', 'e'):     100,    -4.422568589986818
('t', 'i'):     99,     -4.43261892584032
('a', 'ð'):     98,     -4.442771297304337
('s', 'e'):     97,     -4.453027797471527
('t', 'o'):     93,     -4.495139282821653
('ɾ', 'a'):     83,     -4.608898168178311
('e', 't'):     83,     -4.608898168178311

es:                     count   logprob
('j', 'o', 'n'):        101,    -4.412738285539604
('e', 'ɾ', 'e'):        76,     -4.697125462094531
('ɾ', 'e', 't'):        65,     -4.853471532485226
('t', 'ʃ', 'o'):        65,     -4.853471532485226
('e', 'n', 'e'):        65,     -4.853471532485226
('d', 'e', 'ɾ'):        64,     -4.868975719021191
('e', 't', 'ʃ'):        64,     -4.868975719021191
('o', 'n', 'a'):        59,     -4.9503213584751435
('θ', 'j', 'o'):        56,     -5.002507111645714
('t', 'o', 'ð'):        48,     -5.156657791472972
('i', 'e', 'n'):        45,     -5.221196312610543
('e', 'ɾ', 's'):        44,     -5.243669168462602
('e', 'd', 'e'):        43,     -5.2666586866873
('ð', 'e', 'l'):        43,     -5.2666586866873
('s', 'j', 'o'):        42,     -5.290189184097494
('e', 'l', 'a'):        42,     -5.290189184097494
('ɾ', 's', 'o'):        41,     -5.314286735676554
('p', 'e', 'ɾ'):        41,     -5.314286735676554
('t', 'i', 'e'):        39,     -5.364297156251216
('o', 'ð', 'e'):        38,     -5.390272642654477

es:                     count   logprob
('d', 'e', 'ɾ', 'e'):   64,     -4.869095731022535
('e', 'ɾ', 'e', 't'):   64,     -4.869095731022535
('ɾ', 'e', 't', 'ʃ'):   64,     -4.869095731022535
('e', 't', 'ʃ', 'o'):   64,     -4.869095731022535
('θ', 'j', 'o', 'n'):   50,     -5.115955808954061
('i', 'e', 'n', 'e'):   41,     -5.314406747677899
('s', 'j', 'o', 'n'):   40,     -5.33909936026827
('e', 'd', 'e', 'ɾ'):   39,     -5.36441716825256
('t', 'i', 'e', 'n'):   39,     -5.36441716825256
('p', 'e', 'ɾ', 's'):   36,     -5.444459875926097
('e', 'ɾ', 's', 'o'):   36,     -5.444459875926097
('ɾ', 's', 'o', 'n'):   35,     -5.472630752892793
('s', 'o', 'n', 'a'):   35,     -5.472630752892793
('t', 'ʃ', 'o', 'a'):   33,     -5.531471252915726
('ð', 'e', 'l', 'a'):   32,     -5.56224291158248
('a', 'θ', 'j', 'o'):   31,     -5.593991609897061
('u', 'l', 'o', '.'):   31,     -5.593991609897061
('i', 'k', 'u', 'l'):   31,     -5.593991609897061
('e', 'n', 'e', 'd'):   31,     -5.593991609897061
('n', 'e', 'd', 'e'):   31,     -5.593991609897061

fr:                     count   logprob
('a', 'm'):     164,    -3.8339296161106593
('d', 'a'):     141,    -3.9850361535566896
('ʁ', 'a'):     110,    -4.233315678142442
('w', 'a'):     103,    -4.299067055705222
('s', 'j'):     102,    -4.308823230650587
('l', 'a'):     99,     -4.338676193800268
('a', 'ʁ'):     99,     -4.338676193800268
('ɛ', 'ʁ'):     96,     -4.3694478524670215
('a', 'k'):     95,     -4.379919152334317
('k', 's'):     94,     -4.390501261664854
('j', 'ɔ̃'):     84,     -4.502979245091544
('a', 'a'):     84,     -4.502979245091544
('a', 'v'):     84,     -4.502979245091544
('s', 'ɑ̃'):     83,     -4.51495543613826
('t', 'e'):     80,     -4.551769409260976
('l', 'i'):     77,     -4.589990622081174
('i', 'k'):     77,     -4.589990622081174
('ɡ', 'ʁ'):     74,     -4.629730950730688
('a', 's'):     68,     -4.714288338758751
('d', 'ʁ'):     67,     -4.729103424543892

fr:                     count   logprob
('d', 'a', 'm'):        140,    -3.992285469173328
('ʁ', 'a', 'v'):        69,     -4.699821387185374
('s', 'j', 'ɔ̃'):        66,     -4.744273149756207
('a', 'k', 's'):        66,     -4.744273149756207
('ɡ', 'ʁ', 'a'):        65,     -4.759540621886996
('d', 'ʁ', 'w'):        63,     -4.7907931653911
('ʁ', 'w', 'a'):        63,     -4.7907931653911
('a', 'a', 'k'):        63,     -4.7907931653911
('k', 's', 'ɑ̃'):        63,     -4.7907931653911
('s', 'ɑ̃', 'ɡ'):        63,     -4.7907931653911
('ɑ̃', 'ɡ', 'ʁ'):        63,     -4.7907931653911
('d', 'ɛ', 'z'):        42,     -5.196258273499264
('a', 's', 'j'):        41,     -5.220355825078324
('a', 'ʁ', 't'):        38,     -5.296341732056247
('ʁ', 't', 'i'):        35,     -5.378579830293219
('t', 'i', 'k'):        35,     -5.378579830293219
('i', 'k', 'l'):        34,     -5.407567367166471
('ɛ', 'ʁ', 's'):        33,     -5.437420330316153
('t', 'u', 't'):        31,     -5.499940687297486
('p', 'ɛ', 'ʁ'):        30,     -5.532730510120477

fr:                     count   logprob
('d', 'ʁ', 'w', 'a'):   63,     -4.790924995857312
('a', 'a', 'k', 's'):   63,     -4.790924995857312
('a', 'k', 's', 'ɑ̃'):   63,     -4.790924995857312
('k', 's', 'ɑ̃', 'ɡ'):   63,     -4.790924995857312
('s', 'ɑ̃', 'ɡ', 'ʁ'):   63,     -4.790924995857312
('ɑ̃', 'ɡ', 'ʁ', 'a'):   63,     -4.790924995857312
('ɡ', 'ʁ', 'a', 'v'):   63,     -4.790924995857312
('a', 'ʁ', 't', 'i'):   34,     -5.407699197632683
('t', 'i', 'k', 'l'):   31,     -5.500072517763698
('a', 's', 'j', 'ɔ̃'):   30,     -5.532862340586689
('.', 'a', 'ʁ', 't'):   30,     -5.532862340586689
('ʁ', 't', 'i', 'k'):   30,     -5.532862340586689
('p', 'ɛ', 'ʁ', 's'):   28,     -5.60185521207364
('ɛ', 'ʁ', 's', 'ɔ'):   27,     -5.638222856244515
('ʁ', 's', 'ɔ', 'n'):   27,     -5.638222856244515
('d', 'a', 'm', 'l'):   25,     -5.715183897380643
('k', 's', 'j', 'ɔ̃'):   25,     -5.715183897380643
('a', 'm', 'l', 'a'):   23,     -5.798565506319695
('ʁ', 'a', 'v', 'l'):   23,     -5.798565506319695
('a', 'v', 'l', 'a'):   22,     -5.843017268890528

it:                     count   logprob
('d', 'i'):     230,    -3.4246874333606008
('e', 'r'):     130,    -3.9952322918282137
('t', 'o'):     123,    -4.050582386911379
('o', 'n'):     111,    -4.153236540971462
('r', 'e'):     111,    -4.153236540971462
('n', 'e'):     104,    -4.218375843142423
('a', 'd'):     101,    -4.247646225442536
('i', 'n'):     101,    -4.247646225442536
('a', 'r'):     100,    -4.257596556295705
('i', 't'):     99,     -4.267646892149206
('t', 's'):     97,     -4.288055763780413
('a', 'l'):     97,     -4.288055763780413
('t', 'a'):     96,     -4.29841855081596
('e', 'd'):     95,     -4.308889850683255
('a', 't'):     89,     -4.374130372551656
('r', 'i'):     87,     -4.396858623629212
('t', 't'):     84,     -4.4319499434404825
('l', 'e'):     83,     -4.443926134487198
('i', 'r'):     83,     -4.443926134487198
('n', 't'):     77,     -4.518961320430112

it:                     count   logprob
('d', 'i', 'r'):        74,     -4.558843201914458
('t', 's', 'j'):        67,     -4.658215675727662
('a', 'd', 'i'):        59,     -4.7853708512129085
('j', 'o', 'n'):        52,     -4.9116645765372
('o', 'n', 'e'):        52,     -4.9116645765372
('t', 't', 'o'):        51,     -4.931082662394302
('n', 'd', 'i'):        49,     -4.971087997008001
('e', 'd', 'i'):        48,     -4.991707284210737
('s', 'j', 'o'):        47,     -5.012760693408569
('i', 'k', 'o'):        46,     -5.034266898629533
('r', 'i', 't'):        46,     -5.034266898629533
('ɲ', 'ɲ', 'i'):        43,     -5.101708179425065
('e', 'r', 'e'):        43,     -5.101708179425065
('i', 'r', 'i'):        43,     -5.101708179425065
('i', 'n', 'd'):        42,     -5.125238676835259
('i', 't', 't'):        41,     -5.14933622841432
('o', 'ɲ', 'ɲ'):        40,     -5.1740288410046915
('d', 'i', 'v'):        39,     -5.199346648988981
('i', 'v', 'i'):        39,     -5.199346648988981
('a', 'r', 't'):        38,     -5.225322135392242

it:                     count   logprob
('s', 'j', 'o', 'n'):   47,     -5.012902226209032
('t', 's', 'j', 'o'):   45,     -5.056387338148771
('j', 'o', 'n', 'e'):   43,     -5.101849712225528
('d', 'i', 'r', 'i'):   42,     -5.125380209635722
('i', 'n', 'd', 'i'):   41,     -5.149477761214783
('i', 'r', 'i', 't'):   41,     -5.149477761214783
('r', 'i', 't', 't'):   40,     -5.174170373805154
('i', 't', 't', 'o'):   40,     -5.174170373805154
('d', 'i', 'v', 'i'):   39,     -5.1994881817894445
('o', 'ɲ', 'ɲ', 'i'):   38,     -5.225463668192705
('n', 'd', 'i', 'v'):   37,     -5.252131915274866
('i', 'v', 'i', 'd'):   37,     -5.252131915274866
('v', 'i', 'd', 'w'):   37,     -5.252131915274866
('i', 'd', 'w', 'o'):   37,     -5.252131915274866
('a', 'd', 'i', 'r'):   35,     -5.307701766429677
('a', 'r', 't', 'i'):   32,     -5.397313925119364
('t', 'i', 'k', 'o'):   32,     -5.397313925119364
('i', 'k', 'o', 'l'):   32,     -5.397313925119364
('r', 't', 'i', 'k'):   31,     -5.4290626234339445
('k', 'o', 'l', 'o'):   31,     -5.4290626234339445

ko:                     count   logprob
('n', '.'):     10,     -3.756538102587751
('ə', 'ŋ'):     10,     -3.756538102587751
('i', 'n'):     9,      -3.8618986182455775
('.', 's'):     8,      -3.979681653901961
('.', 'k'):     8,      -3.979681653901961
('ŋ', 'ɟ'):     7,      -4.113213046526484
('s', 'uː'):    6,      -4.267363726353742
('ɨ', 'ŋ'):     6,      -4.267363726353742
('ɟ', 'i'):     6,      -4.267363726353742
('a', 'ŋ'):     6,      -4.267363726353742
('ŋ', '.'):     6,      -4.267363726353742
('s', 'a'):     6,      -4.267363726353742
('a', 'h'):     6,      -4.267363726353742
('u', 'g'):     6,      -4.267363726353742
('ɟ', 'ə'):     6,      -4.267363726353742
('h', 'a'):     6,      -4.267363726353742
('j', 'ə'):     6,      -4.267363726353742
('m', 'u'):     5,      -4.449685283147696
('c', 'ɨ'):     5,      -4.449685283147696
('k', 'ɨ'):     5,      -4.449685283147696

ko:                     count   logprob
('ɟ', 'i', 'n'):        6,      -4.269697449699962
('i', 'n', '.'):        6,      -4.269697449699962
('s', 'a', 'h'):        6,      -4.269697449699962
('c', 'ɨ', 'ŋ'):        5,      -4.4520190064939165
('ɨ', 'ŋ', 'ɟ'):        5,      -4.4520190064939165
('ŋ', 'ɟ', 'i'):        5,      -4.4520190064939165
('k', 'ɨ', 'n'):        5,      -4.4520190064939165
('ɟ', 'a', 'ŋ'):        5,      -4.4520190064939165
('j', 'ə', 'ŋ'):        4,      -4.675162557808126
('h', 'a', 'd'):        4,      -4.675162557808126
('t', 'a', 'r'):        4,      -4.675162557808126
('a', 'r', 'a'):        4,      -4.675162557808126
('s', 'uː', '.'):       4,      -4.675162557808126
('ə', 'ŋ', '.'):        4,      -4.675162557808126
('b', 'o', 'ɟ'):        4,      -4.675162557808126
('o', 'ɟ', 'a'):        4,      -4.675162557808126
('.', 's', 'uː'):       3,      -4.962844630259907
('c', 'a', 'j'):        3,      -4.962844630259907
('a', 'j', 'u'):        3,      -4.962844630259907
('j', 'u', 'm'):        3,      -4.962844630259907

ko:                     count   logprob
('c', 'ɨ', 'ŋ', 'ɟ'):   5,      -4.454347296253507
('ɨ', 'ŋ', 'ɟ', 'i'):   5,      -4.454347296253507
('ŋ', 'ɟ', 'i', 'n'):   5,      -4.454347296253507
('ɟ', 'i', 'n', '.'):   4,      -4.677490847567718
('t', 'a', 'r', 'a'):   4,      -4.677490847567718
('b', 'o', 'ɟ', 'a'):   4,      -4.677490847567718
('o', 'ɟ', 'a', 'ŋ'):   4,      -4.677490847567718
('c', 'a', 'j', 'u'):   3,      -4.965172920019499
('a', 'j', 'u', 'm'):   3,      -4.965172920019499
('j', 'u', 'm', 'u'):   3,      -4.965172920019499
('.', 'k', 'ɨ', 'n'):   3,      -4.965172920019499
('.', 's', 'a', 'h'):   3,      -4.965172920019499
('s', 'a', 'h', 'w'):   3,      -4.965172920019499
('a', 'h', 'w', 'e'):   3,      -4.965172920019499
('s', 'a', 'h', 'ø'):   3,      -4.965172920019499
('k', 'a', 'ɟ', 'ə'):   3,      -4.965172920019499
('a', 'ɟ', 'ə', 'ŋ'):   3,      -4.965172920019499
('u', 'm', 'u', '.'):   2,      -5.3706380281276624
('.', 'c', 'ɨ', 'ŋ'):   2,      -5.3706380281276624
('i', 'n', '.', 'k'):   2,      -5.3706380281276624

pl:                     count   logprob
('j', 'ɛ'):     110,    -4.173967601427562
('p', 'ɔ'):     107,    -4.201619132758073
('a', 'r'):     102,    -4.249475153935708
('r', 'a'):     102,    -4.249475153935708
('s', 't'):     90,     -4.374638296889714
('ɛ', 'r'):     85,     -4.431796710729662
('ɲ', 'ɛ'):     85,     -4.431796710729662
('v', 'ɔ'):     79,     -4.505000114752957
('d', 'ɔ'):     74,     -4.5703828740158094
('ɛ', 's'):     73,     -4.583988526071588
('ɲ', 'i'):     68,     -4.654940262043873
('t', 'ʃ̑'):     67,     -4.669755347829013
('r', 'ɔ'):     67,     -4.669755347829013
('ɔ', 't'):     65,     -4.700060697324342
('p', 'ɛ'):     64,     -4.715564883860307
('ɛ', 'k'):     63,     -4.731313240828446
('n', 'a'):     63,     -4.731313240828446
('ɔ', 'p'):     58,     -4.81400495667356
('a', 'v'):     57,     -4.8313966993854285
('vʲ', 'j'):    56,     -4.84909627648483

pl:                     count   logprob
('vʲ', 'j', 'ɛ'):       49,     -4.982767578168692
('ɛ', 'ɛ', 'r'):        46,     -5.045946479790223
('p', 'ɛ', 'ɛ'):        45,     -5.067925386508999
('j', 'ɛ', 'k'):        43,     -5.1133877605857565
('a', 'v', 'ɔ'):        43,     -5.1133877605857565
('t', 'ʃ̑', 'w'):        40,     -5.185708422165383
('ɔ', 'vʲ', 'j'):       40,     -5.185708422165383
('a', 'r', 't'):        40,     -5.185708422165383
('p', 'r', 'a'):        40,     -5.185708422165383
('r', 'a', 'v'):        38,     -5.237001716552933
('ʃ̑', 'w', 'ɔ'):        36,     -5.2910689378232085
('w', 'ɔ', 'vʲ'):       36,     -5.2910689378232085
('ɛ', 's', 't'):        34,     -5.348227351663157
('r', 't', 'ɨ'):        34,     -5.348227351663157
('s', 't', 'a'):        33,     -5.378080314812839
('ɔ', 'd', 'ɔ'):        32,     -5.408851973479592
('ɨ', 't', 'ʃ̑'):        32,     -5.408851973479592
('t', 'ɨ', 'k'):        31,     -5.440600671794172
('l', 'n', 'ɔ'):        30,     -5.473390494617163
('p', 'ʃ', 'ɛ'):        30,     -5.473390494617163

pl:                     count   logprob
('p', 'ɛ', 'ɛ', 'r'):   45,     -5.068065275996532
('vʲ', 'j', 'ɛ', 'k'):  43,     -5.11352765007329
('ɔ', 'vʲ', 'j', 'ɛ'):  40,     -5.185848311652916
('p', 'r', 'a', 'v'):   37,     -5.263809853122627
('r', 'a', 'v', 'ɔ'):   37,     -5.263809853122627
('t', 'ʃ̑', 'w', 'ɔ'):   36,     -5.291208827310742
('ʃ̑', 'w', 'ɔ', 'vʲ'):  36,     -5.291208827310742
('w', 'ɔ', 'vʲ', 'j'):  36,     -5.291208827310742
('a', 'r', 't', 'ɨ'):   34,     -5.34836724115069
('r', 't', 'ɨ', 'k'):   31,     -5.4407405612817055
('.', 'a', 'r', 't'):   30,     -5.473530384104697
('t', 'ɨ', 'k', 'u'):   30,     -5.473530384104697
('ɨ', 'k', 'u', 'w'):   30,     -5.473530384104697
